Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Profit Margin %,Order Year,Order Month,Order Quarter,Order Weekday,Factory,Factory Latitude,Factory Longitude,Customer Latitude,Customer Longitude,Distance to Lot's O' Nuts (KM),Distance to Wicked Choccy's (KM),Distance to Sugar Shack (KM),Distance to Secret Factory (KM),Distance to The Other Factory (KM),Nearest Factory,Nearest Factory Distance KM,Reallocation Needed,Current Distance KM,Distance Saved KM,Distance Improvement %,Recommended Factory
9463,US-2024-165204-CHO-FUD-51000,2025-11-13,2030-05-09,Second Class,165204,United States,Memphis,Tennessee,38109,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,66.66666666666666,2025,11,4,Thursday,Lot's O' Nuts,32.881893,-111.768036,35.0425,-90.0732,2011.18,895.05,1538.99,713.37,12.48,The Other Factory,12.48,True,2011.18,1998.7,99.37946876957808,The Other Factory
2454,US-2022-134026-CHO-NUT-13000,2024-04-26,2027-10-23,Standard Class,134026,United States,Memphis,Tennessee,38109,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,71.34670487106017,2024,4,2,Friday,Lot's O' Nuts,32.881893,-111.768036,35.0425,-90.0732,2011.18,895.05,1538.99,713.37,12.48,The Other Factory,12.48,True,2011.18,1998.7,99.37946876957808,The Other Factory
4697,US-2023-164784-CHO-SCR-58000,2025-05-01,2028-10-24,First Class,164784,United States,Memphis,Tennessee,38109,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44444444444444,2025,5,2,Thursday,Lot's O' Nuts,32.881893,-111.768036,35.0425,-90.0732,2011.18,895.05,1538.99,713.37,12.48,The Other Factory,12.48,True,2011.18,1998.7,99.37946876957808,The Other Factory
8332,US-2024-128363-CHO-FUD-51000,2025-08-13,2030-02-08,Standard Class,128363,United States,Memphis,Tennessee,38109,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,21.6,6,14.4,7.2,66.66666666666666,2025,8,3,Wednesday,Lot's O' Nuts,32.881893,-111.768036,35.0425,-90.0732,2011.18,895.05,1538.99,713.37,12.48,The Other Factory,12.48,True,2011.18,1998.7,99.37946876957808,The Other Factory
8933,US-2024-118402-CHO-NUT-13000,2025-09-29,2030-03-27,Standard Class,118402,United States,Memphis,Tennessee,38109,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,71.34670487106017,2025,9,3,Monday,Lot's O' Nuts,32.881893,-111.768036,35.0425,-90.0732,2011.18,895.05,1538.99,713.37,12.48,The Other Factory,12.48,True,2011.18,1998.7,99.37946876957808,The Other Factory
9459,US-2024-165204-CHO-FUD-51000,2025-11-13,2030-05-09,Second Class,165204,United States,Memphis,Tennessee,38109,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.66666666666666,2025,11,4,Thursday,Lot's O' Nuts,32.881893,-111.768036,35.0425,-90.0732,2011.18,895.05,1538.99,713.37,12.48,The Other Factory,12.48,True,2011.18,1998.7,99.37946876957808,The Other Factory
3766,US-2022-168459-CHO-SCR-58000,2024-11-22,2028-05-19,Standard Class,168459,United States,Memphis,Tennessee,38109,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,69.44444444444444,2024,11,4,Friday,Lot's O' Nuts,32.881893,-111.768036,35.0425,-90.0732,2011.18,895.05,1538.99,713.37,12.48,The Other Factory,12.48,True,2011.18,1998.7,99.37946876957808,The Other Factory
8328,US-2024-128363-CHO-SCR-58000,2025-08-13,2030-02-08,Standard Class,128363,United States,Memphis,Tennessee,38109,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,25.2,7,17.5,7.7,69.44444444444444,2025,8,3,Wednesday,Lot's O' Nuts,32.881893,-111.768036,35.0425,-90.0732,2011.18,895.05,1538.99,713.37,12.48,The Other Factory,12.48,True,2011.18,1998.7,99.37946876957808,The Other Factory
7745,US-2024-160458-CHO-FUD-51000,2025-05-27,2029-11-19,Second Class,160458,United States,Memphis,Tennessee,38109,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,66.66666666666666,2025,5,2,Tuesday,Lot's O' Nuts,32.881893,-111.768036,35.0425,-90.0732,2011.18,895.05,1538.99,713.37,12.48,The Other Factory,12.48,True,2011.18,1998.7,99.37946876957808,The Other Factory
8333,US-2024-128363-CHO-NUT-13000,2025-08-13,2030-02-08,Standard Class,128363,United States,Memphis,Tennessee,38109,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,71.34670487106017,2025,8,3,Wednesday,Lot's O' Nuts,32.881893,-111.768036,35.0425,-90.0732,2011.18,895.05,1538.99,713.37,12.48,The Other Factory,12.48,True,2011.18,1998.7,99.37946876957808,The Other Factory
2031,US-2021-166730-CHO-SCR-58000,2024-12-30,2027-06-24,First Class,166730,United States,Memphis,Tennessee,38109,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,69.44444444444444,2024,12,4,Monday,Lot's O' Nuts,32.881893,-111.768036,35.0425,-90.0732,2011.18,895.05,1538.99,713.37,12.48,The Other Factory,12.48,True,2011.18,1998.7,99.37946876957808,The Other Factory
8334,US-2024-128363-CHO-NUT-13000,2025-08-13,2030-02-08,Standard Class,128363,United States,Memphis,Tennessee,38109,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,71.34670487106017,2025,8,3,Wednesday,Lot's O' Nuts,32.881893,-111.768036,35.0425,-90.0732,2011.18,895.05,1538.99,713.37,12.48,The Other Factory,12.48,True,2011.18,1998.7,99.37946876957808,The Other Factory
9624,US-2024-128118-CHO-NUT-13000,2025-11-24,2030-05-24,Standard Class,128118,United States,Memphis,Tennessee,38109,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,71.34670487106017,2025,11,4,Monday,Lot's O' Nuts,32.881893,-111.768036,35.0425,-90.0732,2011.18,895.05,1538.99,713.37,12.48,The Other Factory,12.48,True,2011.18,1998.7,99.37946876957808,The Other Factory
